,ITEM_DESC,VENDOR,BRAND,VENDOR_CODE,UNIT,PACK,PER_PACK,PRICE,LAST_UPDATE,ACCOUNT,FLAG
500,BLEACH LIQUID GERMICIDAL ULTRA 6%,SYSCO,CLASSIC,1933074,CASE,6.0,128 OZ,26.58,2025-08-12,SNACK BAR,
501,BREAD BAGUETTE DEMI PAR BAKED,SYSCO,ACE BAKERY LTD,5484605,CASE,1.0,45 CT,34.53,2025-08-19,SNACK BAR,
502,BUN HAMBURGER GLUTEN FREE INDIVIDUALLY WRAPPED,SYSCO,UDI'S HEALTHY FOODS,758401,CASE,24.0,1 CT,34.2,2025-08-08,SNACK BAR,
503,BUN HAMBURGER PLAIN 4.5 WHITE,SYSCO,BAKER'S SOURCE,7223084,CASE,6.0,12 CT,27.01,2025-08-19,SNACK BAR,
504,CHEESE AMERICAN 120 SLICE,SYSCO,BLOCK & BARREL,5132234,CASE,4.0,5 LB,58.31,2025-09-26,KITCHEN,
505,CHEESE BLUE CRUMBLES,SYSCO,IMPERIAL,671677,CASE,2.0,5 LB,34.38,2025-07-25,SNACK BAR,
506,CHEESE CHEDDAR JACK FANCY SHREDDED,SYSCO,CASA SOLANA,2822379,CASE,4.0,5 LB,57.16,2025-08-19,SNACK BAR,
507,CHEESE CHEDDAR SHARP SLICED INTERLEAFED .75 YELLOW,SYSCO,BLOCK & BARREL,3554611,CASE,8.0,1.5 LB,44.26,2025-07-04,SNACK BAR,
508,CHEESE FETA CRUMBLED,SYSCO,IMPERIAL,135632,CASE,2.0,5 LB,33.04,2025-08-19,SNACK BAR,
509,CHEESE MOZZARELLA FRESH LOG SLICED CRYOVAC,SYSCO,ARREZZIO,4099418,CASE,8.0,1 LB,37.36,2025-09-29,KITCHEN,
510,CHEESE PARMESAN GRATED,SYSCO,ARREZZIO,7268538,CASE,2.0,5 LB,42.04,2025-07-25,SNACK BAR,
511,CHEESE PEPPER JACK SLI .75 OUNCE,SYSCO,GREAT LAKES CHEESE,7256901,CASE,6.0,1.5 LB,29.55,2025-07-15,SNACK BAR,
512,CHEESE QUESO QUESADILLA SHRED,SYSCO,PICA Y SALPICA,7223395,CASE,4.0,5 LB,77.82,2025-08-05,SNACK BAR,
513,CHEESE STICK MOZZARELLA BATTERED,SYSCO,CLASSIC,4084976,CASE,6.0,2 LB,61.66,2025-08-19,SNACK BAR,
514,CHICKEN BREAST BREADED FILETS RAW,SYSCO,CLASSIC,8666192,CASE,40.0,4 OZ,52.73,2025-07-16,SNACK BAR,
515,CHICKEN BREAST FAJITA FILETS STRIPS,SYSCO,BRAKEBUSH BROTHERS,3196938,CASE,2.0,5 LB,56.19,2025-09-16,KITCHEN,
516,CHICKEN BREAST FILETS GRILLED,SYSCO,TYSON FOODS,1804301,CASE,36.0,4.5 OZ,72,2025-08-15,SNACK BAR,
517,CHICKEN TENDERS BREADED GOLDEN FLAT LARGE,SYSCO,CLASSIC,1400464,CASE,2.0,5 LB,47.91,2025-08-27,SNACK BAR,
518,CHIP MULTIGRAIN GARDEN SALSA LARGE SINGLE SERVING,SYSCO,SUNCHIP,6799136,CASE,64.0,1.5 OZ,45.75,2025-08-08,SNACK BAR,
519,CHIP PITA PARMESAN GARLIC HERB,SYSCO,STACY'S,7160860,CASE,24.0,1.5 OZ,16.09,2025-08-08,SNACK BAR,
520,CHIP POTATO REGULAR LARGE SINGLE SERVING,SYSCO,LAYS,6725273,CASE,64.0,1.5 OZ,45.75,2025-08-19,SNACK BAR,
521,CHIP TORTILLA YELLOW ROUND,SYSCO,CASA SOLANA,7221908,CASE,30.0,3 OZ,22.32,2025-08-08,SNACK BAR,
522,CHIPS POTATO BBQ LARGE SINGLE SERVING,SYSCO,LAYS,6743441,CASE,64.0,1.5 OZ,45.75,2025-08-15,SNACK BAR,
523,CHIPS TORTILLA COOL RANCH LARGE SINGLE SERVING,SYSCO,DORITOS (FRITOLAY),6725401,CASE,64.0,1.75 OZ,45.75,2025-08-12,SNACK BAR,
524,CLEANER FLOOR SANITIZING WASH N WALK,SYSCO,KEYSTONE PRODUCTS,2514028,CASE,1.0,2.5 GAL,141.58,2025-07-22,SNACK BAR,
525,CONE CAKE #30 JACKETED SLEEVE,SYSCO,JOY,6275315,CASE,30.0,25 CT,97.6,2025-08-12,SNACK BAR,
526,CONTAINER FOAM ROUND WHITE SQUAT 8 OUNCE,SYSCO,CLASSIC,3291143,CASE,20.0,50 CT,45.28,2025-07-11,SNACK BAR,
527,CONTAINER PLASTIC CLEAR HINGED 8 INCH,SYSCO,CLASSIC,2310102,CASE,2.0,100 CT,53.07,2025-08-27,SNACK BAR,
528,COOKIE CRUMB OREO MEDIUM CRUNCH,SYSCO,NABISCO,6400051,CASE,4.0,2.5 LB,13.5,2025-08-12,SNACK BAR,
529,CRACKER CHEEZ-IT ORIGINAL SNACK,SYSCO,SUNSHINE,5538590,CASE,60.0,1.5 OZ,28.53,2025-10-22,KITCHEN,
530,CROISSANT BUTTER CURVED,SYSCO,BAKER'S SOURCE,5221155,CASE,4.0,12 CT,52.2,2025-08-15,SNACK BAR,
531,CROUTON SEASONED CUBED PACKET ZERO TRANS FAT,SYSCO,CLASSIC,7762299,CASE,250.0,.25 OZ,16.72,2025-08-12,SNACK BAR,
532,CUP FOAM 32 OUNCE PEDESTAL HORIZON,SYSCO,DART CONTAINER,3936754,CASE,25.0,16 CT,47.17,2025-08-08,SNACK BAR,
533,CUP PAPER COLD POLY-COATED 20 OUNCE,SYSCO,SYSCO TRENDZ,1993734,CASE,24.0,50 CT,128.69,2025-08-12,SNACK BAR,
534,CUP PLASTIC CLEAR RPET SQUAT 9 OUNCE,SYSCO,EARTH PLUS,7473299,CASE,15.0,65 CT,64.27,2025-07-25,SNACK BAR,
535,DETERGENT MACHINE SUPER TRUMP,SYSCO,ECOLAB,4350963,CASE,4.0,1 GAL,49.2,2025-07-08,SNACK BAR,
536,DIP HUMMUS TRADITIONAL,SYSCO,CLASSIC,9669151,CASE,4.0,3.75 LB,46.84,2025-09-26,KITCHEN,
537,DRESSING BLUE CHEESE PACKET,SYSCO,T. MARZETTI,5274964,CASE,120.0,1.5 OZ,37.78,2025-07-18,SNACK BAR,
538,DRESSING HONEY MUSTARD DIP CUP,SYSCO,HOUSE RECIPE,7132039,CASE,96.0,1.5 OZ,27.48,2025-07-25,SNACK BAR,
539,DRESSING RANCH CUP,SYSCO,T. MARZETTI,4939476,CASE,120.0,1 OZ,24.09,2025-08-19,SNACK BAR,
540,DRESSING RANCH HOMESTYLE,SYSCO,KEN'S,5590948,CASE,4.0,1 GAL,61.14,2025-08-19,SNACK BAR,
541,DRINK GRAPE FIERCE WIDE-MOUTH,SYSCO,GATORADE,1280239,CASE,24.0,20 OZ,25.06,2025-08-19,SNACK BAR,
542,DRINK ORANGE WIDE MOUTH PLASTIC READY TO DRINK,SYSCO,GATORADE,7468556,CASE,24.0,20 OZ,25.06,2025-07-28,SNACK BAR,
543,DRINK RASPBERRY COOL BLUE WIDE MOUTH READY TO,SYSCO,GATORADE,7468531,CASE,24.0,20 OZ,25.06,2025-08-05,SNACK BAR,
544,GLOVE NITRILE FOODSERVICE POWDER FREE BLACK LA,SYSCO,CLASSIC,4685614,CASE,10.0,100 CT,66.92,2025-08-11,SNACK BAR,
545,GLOVE NITRILE FOODSERVICE POWDER FREE BLACK ME,SYSCO,CLASSIC,4685594,CASE,10.0,100 CT,66.92,2025-10-22,KITCHEN,
546,GUACAMOLE FRESH SNACK PACK ORIGINAL HIGH PRESSURE PASTEURIZATION,SYSCO,CASA SOLANA,2748719,CASE,36.0,2 OZ,33.71,2025-07-25,SNACK BAR,
547,ICE CREAM BAR SUNDAE STRAWBERRY KRUNCH,SYSCO,BLUE RIBBON,2277267,CASE,2.0,24 CT,24.78,2025-08-19,SNACK BAR,
548,ICE CREAM SANDWICH CHIPS GALORE,SYSCO,BLUE BUNNY,1595487,CASE,24.0,4.5 OZ,30.47,2025-08-19,SNACK BAR,
549,ICE CREAM SANDWICH COOKIES & CREAM,SYSCO,BLUE BUNNY,2109783,CASE,24.0,4.5 OZ,30.47,2025-08-19,SNACK BAR,
550,JUICE APPLE 100% PET,SYSCO,CITAVO GROVE,7213726,CASE,24.0,10 OZ,24.5,2025-07-08,SNACK BAR,
551,KETCHUP PACKET FANCY,SYSCO,HEINZ,4136768,CASE,1000.0,9 G,36.24,2025-07-08,SNACK BAR,
552,KETCHUP PACKET FANCY FOIIL,SYSCO,HOUSE RECIPE,8747859,CASE,1000.0,9 G,33.06,2025-08-19,SNACK BAR,
553,"KIT CUTLERY FORK, KNIFE, SPOON/SALT AND PEPPER",SYSCO,CLASSIC,7183963,CASE,1.0,250 CT,35.39,2025-08-19,SNACK BAR,
554,LID PLAS 32OZ SLOT VENT,SYSCO,DART CONTAINER,7213494,CASE,10.0,100 CT,48.78,2025-07-08,SNACK BAR,
555,LID PLASTIC SLOT FOR24N/32AJ20,SYSCO,DART CONTAINER,5466750,CASE,10.0,100 CT,30.18,2025-07-18,SNACK BAR,
556,LINER BASKET GREEN CHECK 12X12,SYSCO,CLASSIC,7273300,CASE,1.0,2000 CT,67.11,2025-08-11,SNACK BAR,
557,"LINER TRASH 43""X46""",SYSCO,RELIANCE,1764521,CASE,100.0,56 GAL,41.64,2025-07-28,SNACK BAR,
558,MILK CHOCOLATE ULTRA PASTEURIZED PREMIUM,SYSCO,PRAIRIE FARMS DAIRY INC,7184272,CASE,12.0,14 OZ,15.49,2025-07-29,SNACK BAR,
559,MILK WHOLE ULTRA HIGH TEMPERATURE,SYSCO,PRAIRIE FARMS DAIRY INC,7214375,CASE,12.0,14 OZ,14.68,2025-07-16,SNACK BAR,
560,NAPKIN DISPENSER 13X12 1P NATURAL,SYSCO,EARTH PLUS,7266843,CASE,12.0,600 CT,72.39,2025-08-12,SNACK BAR,
561,OIL VEGETABLE PURE,SYSCO,CLASSIC,4119061,CASE,6.0,1 GAL,11.67,2025-08-11,SNACK BAR,
562,ONION RING BEER BATTERED THICK CUT,SYSCO,BREW CITY,9394420,CASE,6.0,2.5 LB,55.42,2025-08-11,SNACK BAR,
563,"PICKLE REFRIGERATED KOSHER DILL SLICED .25""",SYSCO,CLAUSSEN,1537711,CASE,1.0,5 GAL,60.45,2025-08-15,SNACK BAR,
564,PICKLE SLICED SWEET HOTTIES,SYSCO,COOL CRISP,353835,CASE,1.0,2 GAL,24.95,2025-08-15,SNACK BAR,
565,PRETZEL TINY TWISTS CLASSIC LARGE SINGLE SERVING,SYSCO,ROLD GOLD,6798845,CASE,64.0,2OZ,45.75,2025-08-08,SNACK BAR,
566,SALSA DIPPING CUP 3 OZ,SYSCO,RED GOLD,3363365,CASE,168.0,3 OZ,74.93,2025-07-18,SNACK BAR,
567,SANITIZER QUAT SOLID DISPENSER,SYSCO,KEYSTONE PRODUCTS,4461400,CASE,2.0,2 LB,113.24,2025-09-09,KITCHEN,
568,SAUCE BARBECUE DIP CUP,SYSCO,HOUSE RECIPE,3132032,CASE,200.0,1 OZ,28.34,2025-07-23,SNACK BAR,
569,SAUCE CHOCOLATE DESIGNER,SYSCO,LYONS MAGNUS,3341443,CASE,12.0,16 OZ,37.13,2025-07-04,SNACK BAR,
570,SAUCE MARINARA DIPPING CUP,SYSCO,ARREZZIO,7274658,CASE,96.0,2.5 OZ,41.91,2025-08-11,SNACK BAR,
571,SAUCE PEPPER CAYENNE RED HOT,SYSCO,FRANK'S REDHOT,7524051,EACH,1.0,1 GAL,16.48,2025-07-18,SNACK BAR,
572,SOFT SERVE CHOCOLATE PREMIUM FRESH,SYSCO,PRAIRIE FARMS DAIRY INC,4802007,CASE,2.0,2.5 GAL,45.93,2025-08-19,SNACK BAR,
573,SOFT SERVE VANILLA PREMIUM FRESH,SYSCO,PRAIRIE FARMS DAIRY INC,4801983,CASE,2.0,2.5 GAL,46.1,2025-08-19,SNACK BAR,
574,SPOON SOUP PLASTIC BLACK HEAVY FULL,SYSCO,IMPERIAL,8199178,CASE,1000.0,1 CT,61.11,2025-08-12,SNACK BAR,
575,TEA ICED SWEET WITH LEMON PURE LEAF,SYSCO,LIPTON,2131850,CASE,12.0,18.5 OZ,20.83,2025-07-08,SNACK BAR,
576,TOPPING M&M'S PLAIN CHOPPED,SYSCO,TR TOPPER,7217490,CASE,2.0,5 LB,52.14,2025-08-12,SNACK BAR,
577,TOPPING STRAWBERRY SLICED,SYSCO,CLASSIC,4925129,CASE,6.0,#5,14.81,2025-08-12,SNACK BAR,
578,TOWELETTE MOIST LEMON SCENT 8 INCH X 5 INCH,SYSCO,TRENDZ,834697,CASE,10.0,100 CT,16.39,2025-07-25,SNACK BAR,
579,TRAY FOOD PAPER RED PLAID 3 POUND,SYSCO,SYSCO RELIANCE,1998477,CASE,2.0,250 CT,38.35,2025-08-19,SNACK BAR,
580,TRAY FOOD PAPER RED PLAID 5 POUND,SYSCO,RELIANCE,1998499,CASE,2.0,250 CT,54.72,2025-08-19,SNACK BAR,
581,TRAY PAPER PULP CARRY OUT 4 CUP,SYSCO,EARTH PLUS,3574910,CASE,4.0,75 CT,58.09,2025-07-25,SNACK BAR,
582,TUNA WHITE ALBACORE SOLID WATER,SYSCO,PORTICO,8523995,CASE,6.0,66.5 OZ,129.88,2025-07-16,SNACK BAR,
583,TURKEY BREAST SLICED OVEN ROASTED .67 OUNCE,SYSCO,BLOCK & BARREL,7094280,CASE,4.0,2.5 LB,64.52,2025-08-19,SNACK BAR,
584,WATER SPRING,SYSCO,ICE MOUNTAIN,269688,CASE,24.0,20 OZ,10.64,2025-07-29,SNACK BAR,
585,WRAP TORTILLA FLOUR 12 INCH,SYSCO,LA BANDERITA,4049195,CASE,8.0,12 CT,25.07,2025-08-19,SNACK BAR,
586,,SYSCO,,4734775,,,,53.38,2025-07-25,SNACK BAR,Needs Review
587,,SYSCO,,4850223,,,,55.11,2025-07-18,SNACK BAR,Needs Review
588,ANCHOVY FILLET EASY OPEN TIN IN OLIVE OIL,SYSCO,ARREZZIO,4689212,CASE,1.0,13 OZ,$19.28 ,2025-08-22,,
589,APPETIZER CHEESE MACARONI WEDGES BATTERED,SYSCO,IMPERIAL,8270631,CASE,6.0,3 LB,$97.66 ,2025-08-01,,
590,APPETIZER PEPPER JALAPENO CREAM CHEESE BREADED,SYSCO,IMPERIAL,7107838,CASE,4.0,4 LB,$92.67 ,2025-08-11,,
591,APPETIZER PEPPER JALAPENO CREAM CHEESE OVENABLE,SYSCO,CLASSIC,7055239,CASE,6.0,2 LB,63.42,2025-09-26,KITCHEN,
592,APPETIZER TACO CHICKEN MINI,SYSCO,CASA SOLANA,2518785,CASE,4.0,4 LB,$86.52 ,2025-08-01,,
593,AVOCADO HASS FRESH CHUNK PULP,SYSCO,CASA SOLANA,8337503,CASE,8.0,2 LB,$88.55 ,2025-08-06,,
594,BEAN GREEN TRIMMED,SYSCO,IMPERIAL,1810910,CASE,2.0,5 LB,31.39,2025-09-12,KITCHEN,
595,BEAN REFRIED WITH LARD,SYSCO,STOKELY,2281709,CASE,6.0,#10,45.31,2025-09-19,KITCHEN,
596,BEANS BLACK WITH CORN FLAME ROASTED FIESTA,SYSCO,SIMPLOT ROASTWORKS,4273470,CASE,6.0,2.5 LB,$35.66 ,2025-08-12,,
597,BEEF BRISKET SMOKED WHOLE,SYSCO,CERTIFIED ANGUS BEEF,3575226,LB,2.0,6.5 LB,12.118,2025-09-17,KITCHEN,
598,BEEF CORNED SHAVED,SYSCO,GROBBEL,2432144,CASE,4.0,3 LB,$93.23 ,2025-08-19,,
599,BEEF FLANK 193,SYSCO,CERTIFIED ANGUS BEEF,8754319,LB,8.0,10 LB,$12.20 ,2025-08-01,,
600,BEEF PATTY CHUCK STEAKBURGER ROUND CAB,SYSCO,BUCKHEAD PRIDE,7201482,CASE,42.0,5.33 OZ,92.37,2025-10-22,KITCHEN,
601,BEEF ROAST TOP ROUND SLICED,SYSCO,BLOCK & BARREL,1962869,CASE,4.0,2.5 LB,$102.51 ,2025-08-19,,
602,"BEEF SIRLOIN TIPS 1"" X 1"" FROZEN",SYSCO,BUCKHEAD PRIDE,3051935,CASE,2.0, 5 LB ,$60.65 ,2025-08-22,,
603,BEEF TENDERLOIN CHAIN,SYSCO,BUTCHER'S BLOCK,9460106,LB,6.0,5 LB,29.936,2025-09-26,KITCHEN,
604,BLINTZ CHEESE CREPE 3 OZ,SYSCO,IMPERIAL,6996029,CASE,1.0,96 CT,118.35,2025-09-19,KITCHEN,
605,BRATWURST 4 PER # NATURAL CASING,SYSCO,CLASSIC,1044429,CASE,40.0,4 OZ,36.99,2025-09-23,KITCHEN,
606,BREAD BAGUETTE ARTISAN 23 INCH,SYSCO,BAKER'S SOURCE,7276163,CASE,18.0,14.1 OZ,$51.15 ,2025-08-20,,
607,BREAD NAAN TANDOORI TEARDROP,SYSCO,STONEFIRE,5960921,CASE,48.0,4.4 OZ,44.86,2025-09-29,KITCHEN,
608,BUN BRAT & SAUSAGE HINGED,SYSCO,BAKER'S SOURCE,7219684,CASE,8.0,8 CT,35.95,2025-09-23,KITCHEN,
609,BUN HAMBURGER CLASSIC 4.5,SYSCO,ACE BAKERY LTD,7267452,CASE,8.0,6 CT,29.27,2025-10-22,KITCHEN,
610,BUN HAMBURGER ROUND 4 2.1 OZ,SYSCO,BAKER'S SOURCE,7223074,CASE,10.0,12 CT,37.83,2025-09-23,KITCHEN,
611,BUN HMBRGR CLS SLIDER 3 INCH,SYSCO,ACE BAKERY LTD,7267449,CASE,6.0,30 CT,73.5,2025-09-26,KITCHEN,
612,BUN HOT DOG WHITE 6 HINGED,SYSCO,BAKER'S SOURCE,7223080,CASE,12.0,12 CT,$35.69 ,2025-08-15,,
613,BUN KAISER WHITE CORNDST 4.5 SLICED,SYSCO,BAKER'S SOURCE,7223085,CASE,6.0,12 CT,$33.61 ,2025-08-15,,
614,BUTTER CLARIFIED 4-5#,SYSCO,WHOLESOME FARMS,3029614,CASE,4.0,5 LB,$94.69 ,2025-08-22,,
615,CAKE FUNNEL FRIES,SYSCO,FUNNEL CAKE,6977005,CASE,1.0,600 CT,$53.47 ,2025-08-15,,
616,CALAMARI RINGS & TENTACLES DIPPED & DUSTED,SYSCO,TAMPA MAID,5304706,CASE,6.0,2 LB,129.85,2025-09-30,KITCHEN,
617,CANDY M&M'S PLAIN BULK,SYSCO,M&M,6080550,CASE,1.0,25 LB,105.94,2025-10-22,KITCHEN,
618,CAPERS NONPAREIL IMPORTED,SYSCO,IMPERIAL,5535679,CASE,12.0,16 OZ,$43.73 ,2025-08-12,,
619,CEREAL ASSORTED FAVORITE CUP PAK,SYSCO,KELLOGG'S,9234246,CASE,60.0,EA,$63.25 ,2025-08-04,,
620,CHEESE CHEDDAR MILD LOAF YELLOW,SYSCO,BLOCK & BARREL,2819098,CASE,2.0,5 LB,$36.22 ,2025-10-22,KITCHEN,
621,CHEESE CHEDDAR ORIGINAL SPREAD,SYSCO,WIN SCHULER,7186344,CASE,4.0,5 LB,$82.29 ,2025-08-13,,
622,CHEESE COTTAGE SMALL CURD 4%,SYSCO,WHOLESOME FARMS,5020896,CASE,2.0,5 LB,25.67,2025-09-22,KITCHEN,
623,CHEESE CREAM LOAF,SYSCO,WHOLESOME FARMS,1012566,CASE,10.0,3 LB,91.68,2025-09-22,KITCHEN,
624,CHEESE FETA PAIL,SYSCO,IMPERIAL,9768342,CASE,2.0,8 LB,50.87,2025-09-17,KITCHEN,
625,CHEESE GOUDA SMOKED,SYSCO,BLOCK & BARREL,2393049,LB,2.0,6 LB,4.88,2025-09-05,KITCHEN,
626,CHEESE HAVARTI WITH DILL,SYSCO,BLOCK & BARREL,2393023,LB,1.0,9 LB,$4.62 ,2025-08-01,,
627,CHEESE MONTEREY PEPPER JACK SLICED INTERLEAF,SYSCO,BLOCK & BARREL,3554553,CASE,8.0,1.5 LB,$43.54 ,2025-08-05,,
628,CHEESE MOZZARELLA LOW MOISTURE WHOLE MILK MOZZARELLA,SYSCO,SAPUTO FOODS LTD,350880,LB,8.0,6 LB,2.465,2025-07-11,,
629,CHEESE PROVOLONE NON-SMOKED SLICED .75 OUNCE,SYSCO,BLOCK & BARREL,3546386,CASE,8.0,1.5 LB,45.15,2025-10-22,KITCHEN,
630,CHICKEN 8PIECES BREADED HONEY STUNG PRE-COOKED,SYSCO,TYSON FOODS,4915561,CASE,1.0,15 LB,$46.87 ,2025-08-15,,
631,CHICKEN CVP WING WHOLE JUMBO HALAL,SYSCO,SANDERSON FARMS,7753862,CASE,1.0,40 LB,$92.80 ,2025-08-15,,
632,CHICKEN POPCORN ALL WHITE BREADED,SYSCO,BRAKEBUSH BROTHERS,3606712,CASE,2.0,5 LB,$38.07 ,2025-08-04,,
633,CHIP CORN SCOOP WALKING TACO,SYSCO,FRITOLAY,4940757,CASE,18.0,3.5 OZ,$28.33 ,2025-08-01,,
634,CHIP POTATO ORIGINAL KETTLE,SYSCO,BLOCK & BARREL,7221933,CASE,8.0,16 OZ,34.61,2025-09-19,KITCHEN,
635,CHIP TORTILLA TRI COLOR PREFRY,SYSCO,CASA SOLANA,9407057,CASE,6.0,2 LB,51.7,2025-09-26,KITCHEN,
636,COD ATLANTIC LOIN IQF 4 OUNCE ASIA,SYSCO,PORTICO,7036544,CASE,1.0,10 LB,111.34,2025-09-23,KITCHEN,
637,COD BATTERED BEER GUINNESS,SYSCO,HIGHLINER,2942728,CASE,1.0,10 LB,$84.11 ,2025-08-15,,
638,CORN DOG ALL MEAT 4 PER # HONEY BATTERED,SYSCO,CLASSIC,1111269,CASE,48.0,4 OZ,$45.03 ,2025-08-15,,
639,CORN STARCH,SYSCO,ARGO,4032991,CASE,24.0,1 LB,38.68,2025-09-30,KITCHEN,
640,CRACKER GOLDFISH WHOLE GRAIN,SYSCO,PEPPERIDGE FARM,6599405,CASE,300.0,0.75 OZ,$68.85 ,2025-08-05,,
641,CREAM SOUR PURE CUP GRADE A,SYSCO,WHOLESOME FARMS,5031836,CASE,100.0,1 OZ,$17.22 ,2025-08-01,,
642,CREAMER COFFEE CITAVO NON DAIRY ORIGINAL,SYSCO,CITAVO,7100285,CASE,384.0,9 ML,20.14,2025-10-22,KITCHEN,
643,DIP SPINACH ARTICHOKE,SYSCO,CLASSIC,4129340,CASE,4.0,5 LB,66.31,2025-10-22,KITCHEN,
644,DOUGH PASTRY PUFF SQUARE 5X5,SYSCO,BAKER'S SOURCE,7198010,CASE,120.0,2 OZ,$63.68 ,2025-10-22,KITCHEN,
645,DRESSING ASIAN SESAME,SYSCO,MARZETTI,3630324,CASE,4.0,1 GAL,$68.35 ,2025-08-11,,
646,DRESSING BALSAMIC VINAIGRETTE,SYSCO,KEN'S,7872328,CASE,4.0,1 GAL,58.1,2025-09-10,KITCHEN,
647,DRESSING CILANTRO VINAIGRETTE,SYSCO,IMPERIAL,9591264,CASE,2.0,1 GAL,31.92,2025-10-22,KITCHEN,
648,DRESSING GREEK FETA CHEESE,SYSCO,IMPERIAL,6475719,CASE,2.0,1 GAL,$57.33 ,2025-08-19,,
649,DRESSING HONEY MUSTARD DIJON,SYSCO,RELIANCE,8763898,CASE,4.0,1 GAL,75.88,2025-09-23,KITCHEN,
650,DUCK BREAST,SYSCO,MAPLE LEAF,7174697,LB,24.0,8 OZ,18.101,2025-10-22,KITCHEN,
651,GARLIC PEELED FRESH,SYSCO,IMPERIAL,1824537,CASE,1.0,5 LB,$43.60 ,2025-08-01,,
652,GRAPEFRUIT SECTION LT SYRUP,SYSCO,CLASSIC,2527836,CASE,1.0,8 LB,24.76,2025-09-09,KITCHEN,
653,HALIBUT FILLET SKIN-ON,SYSCO,PORTICO,2954772,LB,1.0,5 LB,21.116,2025-09-16,KITCHEN,
654,HAM PITT BONELESS FULLY COOKED,SYSCO,DEARBORN SAUSAGE,7401391,LB,3.0,15 LB,4.012,2025-09-10,KITCHEN,
655,HAM SMOKED SLICED .67 OUNCE,SYSCO,BLOCK & BARREL,1962976,CASE,4.0,2.5 LB,51.17,2025-09-26,KITCHEN,
656,HORSERADISH WHITE PREPARED,SYSCO,CLASSIC,9869108,CASE,6.0,32 OZ,$42.27 ,2025-08-22,,
657,ICE CREAM MOOSE TRACKS,SYSCO,HOUSE OF FLAVORS,2589018,CASE,1.0,3 GAL,$31.80 ,2025-08-08,,
658,ICE CREAM SORBETO RASPBERRY,SYSCO,HOUSE OF FLAVORS,7015506,CASE,1.0,3 GAL,$27.80 ,2025-08-12,,
659,ICE CREAM VANILLA BEAN,SYSCO,ASHBY'S,2727519,CASE,1.0,3 GAL,37.16,2025-09-12,BAKERY,
660,JUICE APPLE 100% ASEPTIC,SYSCO,CITAVO,6050116,CASE,12.0,46 OZ,$38.68 ,2025-08-22,,
661,JUICE GRAPEFRUIT 100% ASEPTIC,SYSCO,CITAVO,6050165,CASE,12.0,46 OZ,$53.32 ,2025-08-22,,
662,JUICE ORANGE,SYSCO,NATALIE'S,7302905,CASE,6.0,56 OZ,42.92,2025-09-05,KITCHEN,
663,JUICE PINEAPPLE 100% ASEPTIC,SYSCO,CITAVO,6050140,CASE,12.0,46 OZ,$45.28 ,2025-08-22,,
664,JUICE TOMATO,SYSCO,SACRAMENTO,393294,CASE,8.0,46 OZ,18.15,2025-09-30,KITCHEN,
665,KETCHUP FANCY,SYSCO,HOUSE RECIPE,5686266,CASE,6.0,#10,$46.67 ,2025-08-20,,
666,LOBSTER BODIES FROZEN,SYSCO,IMPERIAL,3011479,CASE,1.0,25 LB,$53.46 ,2025-08-20,,
667,MUSTARD FRENCH WHOLE GRAIN IN TIN,SYSCO,IMPERIAL,4064986,CASE,1.0,8.6 LB,$22.53 ,2025-08-20,,
668,MUSTARD YELLOW PREPARED,SYSCO,CLASSIC,4006797,CASE,1.0,1 GAL,$7.88 ,2025-08-20,,
669,NUT PISTACHIO RAW,SYSCO,CAPITOL,5529318,CASE,1.0,5 LB,$73.77 ,2025-08-13,,
670,OLIVES GREEN QUEEN PITTED 100/120 CT,SYSCO,IMPERIAL,7097100,CASE,1.0,1 GAL,43.57,2025-10-22,KITCHEN,
671,ONION RING TANGLERS FLOUR BREADED,SYSCO,MOORES,9474859,CASE,6.0,2 LB,$44.35 ,2025-08-15,,
672,PASTA PENNE RIGATE,SYSCO,BARILLA ITALIAN PASTA,7967946,CASE,2.0,10 LB,25,2025-09-30,KITCHEN,
673,PASTA RAVIOLI CHEESE SQUARE,SYSCO,ARREZZIO,7267052,CASE,3.0,3 LB,29.15,2025-09-30,KITCHEN,
674,PASTA SHELLS MEDIUM,SYSCO,PASTA LABELLA,4786943,CASE,2.0,10 LB,$26.31 ,2025-08-20,,
675,PATTY VEGETABLE BLACK BEAN SPICY,SYSCO,MORNINGSTAR FARMS,6196026,CASE,48.0,3.25 OZ,$69.49 ,2025-08-15,,
676,PECAN HALVES MEDIUM FANCY RAW,SYSCO,CLASSIC,7078389,CASE,1.0,5 LB,60.6,2025-09-26,KITCHEN,
677,PERCH FILLET YELLOW SPLIT MEDIUM,SYSCO,PORTICO,7154725,CASE,1.0,11 LB,$150.53 ,2025-08-08,,
678,PICKLE WHOLE KOSHER 60/65 CT,SYSCO,BLOCK & BARREL,5287194,CASE,1.0,5 GAL,32.07,2025-09-09,KITCHEN,
679,"POTATO FRY 3/8""",SYSCO,IMPERIAL,2032935,CASE,6.0,5 LB,$54.65 ,2025-08-05,,
680,POTATO FRY SKIN-ON WAFFLE,SYSCO,IMPERIAL,2000139,CASE,6.0,4.5 LB,$50.48 ,2025-10-22,KITCHEN,
681,POTATO HASH BROWN SIDE O BROWN 2.25 OZ,SYSCO,LAMB SUPREME,1257734,CASE,12.0,20 CT,83.51,2025-09-29,KITCHEN,
682,POTATO RED C-SIZE,SYSCO,IMPERIAL,8486896,CASE,1.0,50 LB,$34.61 ,2025-08-05,,
